caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
416451909,1,401,404,3595,1,0,3,0,1,3,0,0.4236312101910828,0.653059471407918,10,182,1,0,3,0,1,3
416451915,1,15,15,2908,0,0,0,0,0,0,0.06774415405777166,0.05392600472813239,0.455089062892979,8,5,0,0,0,0,0,0
416451918,1,56,56,8373,0,0,0,0,0,0,0.06437358175086588,0.04993846153846154,1.17621927954241,8,24,0,0,0,0,0,0
416453163,1,150,150,8233,0,0,0,0,0,0,0.025992955180371674,-0.008203750000000001,0.890945927702675,5,61,0,0,0,0,0,0
416458021,1,5,5,310,0,0,0,0,0,0,0.0064516129032258064,0.0019290322580645142,1.50597375377197,5,2,0,0,0,0,0,0
416459969,1,60,60,28657,0,0,0,0,0,0,0.06096241755940957,0.023353125,0.662603009873851,6,21,0,0,0,0,0,0
416459981,1,108,111,16136,1,0,3,0,1,3,0.06435397790740971,0.011029447852760738,0.555390402679295,5,83,1,0,3,0,1,3
416461822,1,19,19,4907,0,0,0,0,0,0,0.004075810067250866,0.005991017964071857,0.550198763276749,5,10,0,0,0,0,0,0
416464241,1,89,89,11871,0,0,0,0,0,0,0.0450678123157274,0.08895717948717949,1.06818581613873,9,16,0,0,0,0,0,0
416467591,1,117,117,5499,0,0,0,0,0,0,7.274049827241316e-4,-0.24251728971962616,0.663452206625484,1,0,0,0,0,0,0,0
416473514,0,0,0,100,0,0,0,0,0,0,0.03,NaN,0.763512550087712,NA,0,0,0,0,0,0,0
416473579,0,0,0,2143,0,0,0,0,0,0,0.12832477834811012,0.0362,1.01385872190257,7,0,0,0,0,0,0,0
416475374,1,4,4,2532,0,0,0,0,0,0,0,-0.6422,0.862561522886259,1,4,0,0,0,0,0,0
416475376,0,0,0,864,0,0,0,0,0,0,0.017361111111111112,0.012019047619047622,1.36629499418768,5,0,0,0,0,0,0,0
416481424,1,83,83,11734,0,0,0,0,0,0,0.049258564854269646,0.45868533333333333,0.494544771514758,10,58,0,0,0,0,0,0
416482568,0,0,0,208,0,0,0,0,0,0,0,NaN,1.07974495572141,NA,0,0,0,0,0,0,0
416483965,1,2,2,1808,0,0,0,0,0,0,0.055862831858407076,0.01719848484848485,0.800625507024773,6,2,0,0,0,0,0,0
416498790,1,10,10,109,0,0,0,0,0,0,0,-0.47696,2.58039696132132,1,4,0,0,0,0,0,0
416500044,1,21,21,14028,0,0,0,0,0,0,0.08418876532648988,0.017506293706293707,3.94087212752621,6,6,0,0,0,0,0,0
