totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
0,58,68,4,3,37,34,1,1,5,1,3,0,1,0.878880886
NA,82,85,3,4,81,71,1,2,5,1,4,0,1,0.707554671
NA,85,63,4,3,77,73,1,2,4,9,3,0,1,0.924838848
0,95,87,4,4,57,61,1,3,5,0,4,0,1,0.80254565
0,11,1,2,1,81,67,0,7,3,100,4,0,1,0.808489726
1,75,80,4,3,89,95,1,2,5,0,4,0,1,0.914362713
0,74,78,4,4,67,80,1,4,4,0,3,1,1,0.832472088
0,59,84,4,4,79,85,1,1,5,0,2,0,0,0.894727256
0,55,47,3,2,45,29,1,3,2,9,1,0,1,0.52732798
0,63,59,3,3,59,39,1,2,5,5,4,0,1,0.707554671
1,86,76,4,3,74,84,1,1,5,0,4,0,0,0.794177109
0,41,45,3,2,0,0,NA,1,3,21,3,0,0,0.665414714
0,97,90,3,3,62,0,1,2,3,3,4,1,1,0.73605
1,80,81,3,3,0,0,NA,2,5,0,4,0,1,0.707850111
0,1,20,2,2,55,55,0,6,4,75,3,1,0,0.886862201
0,0,0,1,1,90,88,0,7,4,80,3,0,1,0.97219482
1,4,13,2,2,57,49,0,7,5,99,4,0,1,0.964984401
0,95,92,4,4,55,42,1,4,4,0,4,0,1,0.80254565
0,63,61,3,2,59,59,1,2,5,1,4,0,1,0.92290621
1,50,65,2,3,88,85,1,2,5,0,4,0,1,0.862565331
0,15,NA,2,NA,35,NA,0,4,5,63,3,0,1,1.056770223
1,0,15,2,1,35,25,0,7,5,100,4,0,1,0.808827312
0,25,24,2,2,69,59,0,7,5,86,4,0,1,0.99719565
0,15,20,2,2,39,41,0,4,3,91,3,0,0,0.918200701
0,21,11,2,2,85,69,0,7,5,85,4,0,1,0.808827312
0,21,16,2,2,0,0,NA,5,5,53,4,0,1,0.808827312
0,7,5,2,2,78,80,0,4,3,91,4,0,0,0.844407653
0,90,100,4,3,100,100,1,1,5,0,3,0,1,0.925225015
0,6,0,1,1,0,0,NA,4,4,22,4,1,1,0.599104379
0,3,83,3,4,-69,-46,0,4,5,2,3,0,1,0.925225015
1,1,1,2,2,86,72,0,7,4,99,4,1,0,0.750021002
NA,3,8,2,1,61,55,0,7,3,99,3,0,0,0.947813419
NA,69,75,4,3,58,50,1,3,5,1,3,0,0,0.820735153
NA,87,41,3,3,100,99,1,1,1,0,4,1,0,0.755138576
0,60,30,2,2,66,48,0,6,3,95,4,0,0,0.903834928
0,2,0,2,1,80,50,0,5,5,90,4,1,0,0.920060688
0,84,87,4,3,84,72,1,1,5,0,3,0,1,1.050161563
0,94,NA,4,NA,86,NA,1,2,3,1,4,0,0,0.835914461
0,84,70,3,4,90,81,1,1,5,0,4,0,1,0.829415931
0,85,85,4,3,80,88,1,4,4,0,4,0,1,0.520421299
NA,69,60,3,3,-19,-19,0,4,3,2,4,0,1,0.707850111
NA,71,61,3,3,0,0,NA,2,3,0,4,0,1,0.575313639
0,20,30,2,3,95,88,0,4,4,90,3,0,1,1.004245306
0,30,9,2,2,64,57,0,6,5,94,4,0,0,0.891227375
0,11,21,2,2,30,19,0,6,5,86,3,0,1,1.174872405
0,51,50,3,3,0,0,NA,3,5,0,2,0,0,0.512032358
0,71,75,3,3,58,62,1,2,5,1,2,1,1,0.979991772
0,0,0,1,1,0,0,NA,7,5,95,4,1,1,0.599104379
NA,70,81,3,3,77,72,1,1,5,6,4,0,1,0.862565331
0,74,71,3,4,86,72,1,1,5,1,2,0,1,0.83118332
NA,0,0,1,1,0,0,NA,4,4,100,2,0,0,0.949688606
0,85,81,3,4,80,90,1,1,5,0,4,1,1,0.832472088
0,99,100,4,4,95,97,1,1,4,0,3,0,0,0.794177109
0,3,17,3,1,60,57,0,7,5,100,4,0,1,0.808489726
0,59,68,3,2,49,53,1,1,1,4,3,1,0,1.675520884
0,71,75,3,3,56,60,1,2,5,0,4,0,1,0.812056345
0,57,51,3,3,69,51,1,7,2,2,3,0,0,0.756263673
0,60,40,3,3,71,80,1,1,2,2,4,1,0,0.755138576
0,82,76,3,4,0,0,NA,3,4,2,3,0,1,0.576759117
0,57,75,3,3,65,64,1,2,3,0,3,0,1,0.925225015
0,50,73,2,3,98,96,0,6,5,100,3,0,1,1.004245306
0,69,51,3,2,0,0,NA,4,4,2,4,0,0,0.553679976
0,10,31,2,3,85,76,0,6,1,77,2,0,0,0.790949236
0,90,89,3,3,91,90,1,4,2,0,3,1,1,0.884942082
NA,0,0,2,1,71,66,0,4,5,94,4,0,0,0.998749814
0,15,15,2,2,33,15,0,4,5,69,4,0,1,0.99719565
0,55,NA,3,NA,65,NA,1,4,4,0,4,1,0,1.205428866
NA,26,56,2,2,68,53,0,6,1,87,4,0,0,0.929345078
0,38,49,3,2,19,34,1,1,3,15,2,0,1,0.995862187
NA,51,19,2,2,46,46,1,4,1,50,2,0,0,0.790949236
0,48,70,2,3,0,0,NA,7,1,34,3,0,0,0.907217485
0,66,71,3,3,69,70,1,1,5,0,3,1,0,0.897718338
NA,70,NA,3,NA,54,NA,1,4,2,4,3,0,0,0.803796446
0,95,90,4,4,0,0,NA,4,2,2,3,0,0,0.803796446
0,25,NA,3,NA,49,NA,1,3,3,9,2,0,0,0.821391691
0,66,90,4,4,24,10,0,5,4,60,2,1,1,0.87910868
