totalfakebinary18_pre,pol_therm_media,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary,vote_combined,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,31,20,2,1,3,0,1,1,4,2.599999905,2,0,0,NA,3,5,0,4,0,1,0.412426031,0
NA,NA,NA,1,3,3,1,0,0,1,NA,1,NA,NA,NA,4,2,NA,1,1,0,0.704601842,0
0,11,11,2,3,2,0,1,1,4,2.799999952,2,0,0,NA,4,5,54,4,0,0,0.883077975,0
NA,73,41,3,3,3,1,0,0,2,1,3,0,0,NA,4,2,75,2,0,0,0.574654459,0
NA,28,19,2,3,2,0,0,1,3,1.399999976,2,0,0,NA,4,4,26,2,0,1,0.38079812,1
0,0,NA,1,1,4,0,0,0,0,NA,NA,0,NA,NA,6,1,NA,1,1,0,7.115609012,0
0,0,1,1,4,1,0,1,0,1,4,1,0,0,NA,5,4,100,3,0,1,0.485002318,0
0,29,NA,2,4,2,1,0,0,2,1,2,NA,NA,NA,4,1,63,3,0,0,1.236013543,0
0,53,55,3,3,3,0,1,1,3,4,3,NA,0,NA,4,3,60,1,1,0,7.115609012,0
NA,10,19,2,4,2,0,0,0,1,2,2,0,0,NA,4,4,20,4,0,0,2.653011692,1
0,65,75,3,2,1,0,1,1,4,2.799999952,3,0,0,NA,4,3,0,2,1,1,0.251509887,0
0,75,NA,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,1,2,6,2,1,1,0.426814094,0
0,25,25,3,2,2,0,1,1,4,4.800000191,4,0,0,NA,1,5,0,2,0,0,0.622531133,0
0,0,0,1,2,2,0,0,0,1,2.400000095,1,0,0,NA,1,5,0,2,1,1,0.368515498,1
1,5,NA,1,3,1,0,0,0,0,NA,NA,0,NA,NA,5,5,40,4,0,1,0.177043404,0
NA,38,10,2,1,1,0,1,0,1,1,2,0,0,NA,1,2,0,2,1,1,0.740195611,0
0,0,0,1,4,1,0,1,1,4,5,1,0,0,NA,7,3,100,2,1,1,0.80454493,0
0,9,37,2,3,4,1,0,1,4,2,1,0,0,NA,4,4,60,4,0,0,1.637842231,0
0,29,7,2,1,1,0,0,1,4,1,2,0,0,NA,4,5,1,4,0,0,0.25569664,1
NA,28,37,2,3,2,1,0,0,1,3.200000048,2,0,0,NA,1,5,22,1,0,0,2.269019677,0
0,2,31,2,1,1,0,1,0,2,1,3,0,0,NA,4,4,1,4,0,1,0.294134241,0
0,53,57,2,1,1,1,0,1,3,1.200000048,2,0,0,NA,4,5,26,2,0,0,0.622531133,0
0,19,50,2,3,1,0,1,1,4,3,3,0,0,NA,5,4,38,3,0,1,0.314441423,0
0,2,5,2,3,1,0,0,1,4,4,4,0,0,NA,4,2,83,2,0,0,1.294204091,1
1,47,47,2,1,3,1,0,1,4,4.599999905,2,0,0,NA,1,2,0,1,0,0,0.815103364,0
NA,83,89,3,2,NA,0,1,0,2,2,3,0,0,NA,3,4,75,2,1,1,0.431858507,0
0,80,90,4,1,1,0,0,1,4,2.400000095,4,0,0,NA,4,5,6,4,0,0,5.413148311,1
0,25,20,2,3,1,0,0,1,4,1,2,0,0,NA,4,0,0,2,0,0,0.392198644,1
NA,67,50,3,1,3,0,1,1,4,2.400000095,3,0,0,NA,4,2,1,4,1,1,1.95616356,0
NA,NA,3,1,3,3,0,0,0,2,1,2,0,0,NA,4,1,51,4,0,0,0.623170688,1
0,42,43,3,2,3,0,1,0,1,1,3,0,0,NA,4,2,29,1,1,0,0.935055629,0
0,85,91,4,1,3,1,0,1,3,1.200000048,4,0,0,NA,3,3,0,2,0,0,3.88323717,0
0,31,50,2,2,2,1,0,1,4,3.599999905,3,0,0,NA,4,2,2,4,0,1,0.236866232,0
NA,5,29,1,1,1,0,1,0,2,NA,1,0,0,NA,4,1,3,2,0,1,0.885626243,0
0,5,19,2,1,1,0,1,1,4,2.400000095,3,0,0,NA,4,2,34,4,0,1,0.653704457,0
0,4,1,2,3,3,1,0,0,1,1,2,0,0,NA,6,2,3,4,0,0,0.623170688,0
0,53,50,2,1,3,0,0,0,1,1.799999952,3,0,0,NA,2,3,1,2,0,0,0.539620129,1
0,69,NA,3,1,4,0,0,0,0,NA,NA,0,NA,NA,2,5,1,3,0,1,0.432635156,0
NA,0,5,2,3,1,0,0,1,4,2.400000095,2,0,0,NA,4,4,70,3,0,1,0.416809511,1
0,53,53,3,3,4,0,1,0,1,3.799999952,3,0,0,NA,4,1,57,1,1,0,7.115609012,0
0,38,NA,2,1,3,0,0,0,0,NA,NA,0,NA,NA,4,1,4,1,1,0,2.347329045,0
0,15,8,2,4,1,0,1,1,4,3.599999905,2,0,0,NA,4,5,80,4,0,1,0.667086778,0
0,65,50,3,2,3,1,0,0,1,2.400000095,3,0,0,NA,4,1,18,2,1,1,0.59332766,0
NA,48,31,2,2,4,0,1,1,4,2.400000095,2,0,0,NA,4,1,13,1,1,1,1.546862115,0
0,24,53,3,3,1,1,0,1,4,3,3,0,0,NA,3,3,22,2,0,1,0.238231424,0
0,29,NA,2,2,3,0,0,0,0,NA,NA,0,NA,NA,4,2,0,2,1,0,0.500553275,0
1,91,79,3,2,3,0,0,1,4,3,3,0,0,NA,2,3,2,2,0,0,1.294204091,1
1,14,4,2,4,1,1,0,1,4,3.799999952,2,0,0,NA,6,5,76,4,1,1,1.438085602,0
0,5,30,2,2,2,0,0,1,4,4.800000191,2,0,0,NA,6,5,0,4,0,1,0.180439525,1
NA,41,NA,3,3,3,0,0,0,0,NA,NA,0,NA,NA,4,1,38,2,0,1,0.557950267,0
0,20,43,2,2,3,1,0,1,3,1.600000024,3,0,0,NA,2,4,0,1,0,1,0.575200612,0
NA,41,32,2,3,1,0,1,1,4,1,2,0,0,NA,5,4,30,4,0,0,0.820545073,0
NA,29,28,3,2,1,1,0,1,4,2.599999905,3,0,0,NA,4,5,29,3,1,1,1.825446443,0
0,4,NA,1,3,3,1,0,0,1,1,2,0,NA,NA,4,2,1,2,0,0,1.179714759,0
0,50,46,2,4,1,0,0,1,3,2.799999952,2,0,0,NA,4,1,98,4,1,0,1.37665829,1
0,NA,NA,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,4,1,NA,2,0,0,1.179714759,0
0,3,6,1,3,2,0,1,0,2,2.200000048,1,0,0,NA,6,3,97,2,1,0,5.034346065,0
NA,51,46,3,4,1,0,1,1,4,3.200000048,2,0,0,NA,6,4,75,4,0,0,0.795426328,0
0,60,49,3,4,1,1,0,1,4,2.799999952,3,0,0,NA,4,2,100,4,0,0,2.63498534,0
0,NA,40,2,2,3,1,0,0,1,1,2,NA,NA,NA,4,1,NA,2,0,0,0.36640632,0
0,45,0,2,1,1,0,0,1,4,1,2,0,0,NA,4,3,0,3,0,0,0.468476168,1
0,59,NA,3,2,1,0,0,0,0,NA,NA,0,NA,NA,4,4,0,2,1,1,0.368515498,0
0,41,50,2,3,3,1,0,1,4,3.799999952,2,0,0,NA,2,4,35,2,1,0,0.940282699,0
0,0,0,1,4,1,0,1,1,4,2.599999905,1,0,0,NA,7,5,100,4,0,1,0.667086778,0
0,3,NA,2,1,3,0,0,0,0,NA,NA,0,NA,NA,4,5,2,3,0,0,0.623170688,0
1,7,5,1,4,1,1,0,1,4,2.400000095,1,0,0,NA,5,4,100,4,0,0,0.386353331,0
0,50,60,2,1,3,0,0,1,4,3.400000095,3,0,0,NA,6,5,39,4,1,0,0.202669548,1
0,0,0,1,1,2,0,0,1,4,2.599999905,1,0,0,NA,7,1,0,3,0,0,1.810666515,1
0,50,52,3,1,1,0,1,0,1,1,3,0,0,NA,4,2,31,1,0,0,2.130686836,0
0,48,50,3,3,1,0,0,1,4,3.400000095,3,0,0,NA,6,3,72,2,1,0,0.32562663,1
0,31,31,2,1,2,0,1,1,4,2.400000095,2,0,0,NA,1,5,0,4,0,0,0.977862599,0
0,2,10,2,1,2,0,1,1,4,4.199999809,2,0,0,NA,2,4,1,1,0,1,0.791409745,0
NA,2,1,2,4,1,1,0,1,3,1,2,0,0,NA,4,2,29,2,0,0,0.815356956,0
0,71,61,3,1,3,0,0,1,4,2.400000095,3,0,0,NA,3,4,9,4,0,0,0.585178522,1
