totalfakebinary18_pre,pol_therm_media,misinform_soros_w2,misinform_jamal_w2,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary_w2,vote_combined_w2,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,50,3,3,91,3,3,3,1,0,1,5,4,4,0,0,NA,4,2,51,1,1,0,2.687346023,0
NA,8,2,1,37,1,2,2,0,1,1,5,1.399999976,2,0,0,NA,3,4,2,4,0,1,0.183982834,0
NA,90,1,1,100,4,1,1,0,0,1,5,1.799999952,4,0,0,NA,4,4,3,4,0,1,0.23904701,1
0,43,2,2,9,2,2,2,1,0,0,1,1,2,0,0,NA,4,0,2,3,0,0,0.49844038,0
1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.242294835,0
NA,41,2,1,48,3,4,1,0,1,0,3,1.600000024,3,0,0,NA,4,4,31,3,1,1,0.67704445,0
0,51,2,1,49,2,4,2,1,0,0,2,1.799999952,2,0,0,NA,4,2,51,2,0,0,0.963423255,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.516556995,0
0,NA,4,1,0,2,3,1,0,0,1,5,4.800000191,1,0,0,NA,6,5,94,3,1,1,1.478697211,1
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.095012693,0
NA,84,1,1,79,3,1,2,1,0,1,5,2.599999905,3,0,0,NA,1,3,0,3,0,0,0.488629064,0
0,50,2,3,50,3,2,3,1,0,1,4,3,3,0,0,NA,4,4,0,2,0,0,0.83784656,0
0,36,2,3,72,2,1,4,1,0,0,2,1.200000048,2,0,0,NA,1,1,2,1,1,1,1.817740936,0
NA,41,1,1,41,3,2,3,0,0,1,4,2.799999952,3,0,0,NA,5,5,11,2,0,1,0.615740221,1
0,32,3,1,0,1,4,1,0,0,0,3,2.599999905,1,0,0,NA,5,3,72,4,0,0,1.347074405,1
0,98,2,2,97,4,1,4,0,0,1,5,3.400000095,3,0,0,NA,1,3,3,1,0,0,0.70912536,1
NA,NA,NA,NA,NA,1,2,2,0,0,0,0,1,NA,NA,NA,NA,4,1,NA,2,1,0,0.928956428,0
NA,81,2,3,28,2,2,2,1,0,0,2,1,4,0,0,NA,4,5,59,1,0,1,1.358825368,0
0,5,4,1,10,2,4,2,0,1,1,4,3,2,0,0,NA,6,3,95,4,0,0,0.642816405,0
0,70,2,1,80,3,4,1,0,0,1,4,1.799999952,4,0,0,NA,4,4,1,4,0,0,0.488629064,1
0,15,3,3,13,1,1,1,1,0,0,1,1,1,0,0,NA,4,2,24,2,1,0,0.332369278,0
0,75,1,2,77,3,1,3,0,0,1,4,1,3,0,0,NA,3,4,0,3,0,0,0.488629064,1
0,90,1,1,100,4,1,3,0,0,1,5,2.599999905,4,0,0,NA,4,5,3,4,0,1,0.77609052,1
NA,NA,NA,NA,NA,1,2,2,0,0,0,0,1,NA,NA,NA,NA,4,0,NA,3,0,0,0.52543673,0
0,2,1,4,11,1,1,3,1,0,1,4,1,1,0,0,NA,4,3,2,3,0,1,0.328285446,0
0,10,4,1,12,1,4,1,0,0,1,4,3.400000095,1,0,0,NA,5,2,99,4,0,0,0.781310679,1
NA,66,2,2,73,3,3,3,0,0,1,4,2,3,0,0,NA,4,4,4,4,1,0,0.806338975,1
0,NA,3,1,48,3,1,1,0,0,0,2,2.599999905,3,0,0,NA,5,1,40,4,0,0,1.075884548,1
NA,30,3,1,0,2,3,3,0,0,0,2,2.200000048,2,0,0,NA,4,2,100,3,0,0,1.607709826,1
0,25,4,1,25,2,4,1,0,1,1,4,3.200000048,2,0,0,NA,7,2,100,2,0,0,1.235739372,0
0,25,1,4,24,2,1,2,0,1,1,5,5,2,0,0,NA,4,4,0,2,0,0,0.530998708,0
NA,51,4,3,50,3,3,3,1,0,0,1,3,4,NA,0,NA,4,0,26,2,1,0,0.893212641,0
0,60,NA,NA,NA,2,1,1,0,0,0,0,1.399999976,NA,0,NA,NA,4,2,85,2,1,0,2.265465394,0
NA,0,3,3,9,2,3,1,0,1,1,4,1.200000048,2,0,0,NA,4,3,36,3,0,0,0.715218857,0
0,28,1,2,37,3,3,1,0,0,0,1,2.5,3,0,0,NA,4,1,62,3,0,0,0.52543673,1
0,8,NA,NA,NA,2,1,4,0,0,0,0,2,NA,0,NA,NA,2,3,0,3,1,0,0.59690836,0
0,30,1,2,41,2,3,3,1,0,1,4,1.600000024,2,0,0,NA,4,2,0,2,0,1,0.795883159,0
NA,91,NA,NA,NA,4,3,3,0,0,0,0,2.400000095,NA,0,NA,NA,4,2,90,4,0,0,0.633906139,0
0,40,3,2,21,2,3,2,0,0,1,4,1.200000048,2,0,0,NA,4,3,0,3,0,1,0.612732764,1
NA,59,1,1,54,2,2,2,0,0,1,5,3.799999952,3,0,0,NA,2,5,7,4,0,1,0.290300865,1
0,54,2,2,3,1,3,2,0,1,0,1,1.799999952,2,0,0,NA,4,2,57,3,0,0,0.507925712,0
0,0,3,2,2,1,NA,NA,0,1,0,1,1,1,0,0,NA,4,1,3,2,1,0,1.567114093,0
NA,1,4,4,100,1,4,4,0,0,0,1,1,1,0,0,NA,4,0,NA,3,0,0,1.607709826,1
0,80,1,1,26,3,2,3,0,0,1,4,3.200000048,3,0,0,NA,5,5,0,3,0,1,0.432228905,1
NA,66,NA,NA,NA,3,3,3,0,0,0,0,4.400000095,NA,0,NA,NA,1,3,0,4,1,0,0.866504537,0
0,70,1,1,61,3,3,3,0,0,1,4,2,4,0,0,NA,4,4,4,4,0,0,0.50547482,1
0,10,2,2,77,3,1,4,0,0,1,5,3.599999905,3,0,0,NA,4,3,6,3,0,1,0.454508714,1
0,79,4,1,80,3,4,4,0,0,1,4,2.599999905,4,0,0,NA,4,1,0,2,1,0,0.652637135,1
0,40,1,3,85,3,1,3,1,0,1,4,3.400000095,3,0,0,NA,1,4,3,2,0,0,0.635183769,0
0,29,3,2,11,2,2,3,0,0,1,5,2,2,0,0,NA,4,3,63,2,0,0,0.89535472,1
0,36,2,1,37,3,3,3,0,0,0,2,1.399999976,3,0,0,NA,4,3,51,2,0,0,0.861194299,1
NA,NA,3,2,47,3,3,3,0,0,0,1,1,3,NA,NA,NA,4,3,NA,1,1,1,0.73327489,1
NA,89,2,1,90,3,1,2,1,0,1,5,1,4,0,0,NA,4,3,37,4,0,0,0.591326215,0
0,8,2,3,15,2,3,4,1,0,1,5,1.399999976,2,0,0,NA,1,5,0,4,0,1,0.643924583,0
